q1,q2,q3,q4,q5,q6,index,obj,alpha_6,a_6,theta_6,d_6,theta_5,a_5,alpha_5,d_5,alpha_4,a_4,theta_4,a_3,alpha_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
11.357,18.516,146.117,-110.267,141.390,179.909,a_5,-0.424,-0.464,-1.107,-1.246,-0.251,0.994,0.500,0.131,0.422,0.269,-0.359,-0.081,-0.020,-0.370,-0.053,-0.043,-0.373,0.206,0.087,-0.051,-0.083,0.192,-0.021,0.000,-0.000
14.508,24.349,137.854,-95.295,86.129,-177.713,alpha_5,-1.253,-1.349,0.079,0.088,0.323,0.000,-0.051,0.903,0.240,0.045,-0.319,0.288,-0.050,-0.067,-0.001,-0.001,0.114,0.002,0.003,-0.001,-0.010,0.002,-0.000,0.000,-0.000
14.246,25.289,136.792,-95.659,85.108,178.947,alpha_5,-1.252,-1.339,0.108,0.121,0.325,0.022,-0.070,0.919,0.250,0.054,-0.320,0.301,-0.050,-0.072,0.001,-0.005,0.107,0.002,-0.013,-0.006,-0.000,0.015,-0.001,0.000,-0.000
13.205,29.310,132.129,-95.139,89.143,-179.676,alpha_5,-1.228,-1.296,0.008,0.009,0.313,0.074,-0.032,0.958,0.261,0.059,-0.312,0.363,-0.057,-0.101,0.010,-0.021,0.092,0.000,-0.084,-0.026,0.040,0.071,-0.003,0.000,-0.000
15.586,23.566,142.043,-83.756,71.759,-118.092,alpha_5,-1.075,-0.857,0.413,0.465,-0.088,-0.330,-0.100,0.435,0.047,-0.089,-0.105,0.057,-0.007,0.074,0.097,0.014,0.109,-0.038,0.010,0.025,-0.032,-0.038,-0.010,-0.000,-0.000
14.640,26.369,121.458,-56.534,83.332,179.908,alpha_5,-0.947,-0.202,-0.127,-0.143,0.006,0.085,-0.114,2.222,-0.022,0.301,0.003,2.215,0.085,-0.373,0.217,0.000,-0.228,-0.088,-0.017,0.004,0.003,-0.012,0.000,0.000,-0.000
14.818,24.224,142.022,-80.431,76.776,31.382,alpha_5,-0.919,-0.711,-0.103,-0.116,0.220,0.208,-0.086,-0.219,0.024,0.071,-0.008,-0.020,0.001,-0.066,-0.041,0.001,-0.007,0.012,0.003,-0.001,0.032,-0.009,0.004,-0.000,-0.000
14.509,24.561,137.636,-100.408,86.634,-176.930,alpha_5,-1.223,-1.215,0.056,0.064,0.336,0.011,-0.052,0.968,0.354,0.043,-0.332,0.328,-0.044,-0.078,0.000,-0.001,0.099,0.001,-0.001,-0.001,-0.001,0.003,-0.000,-0.000,-0.000
15.058,25.492,117.321,-44.623,78.904,171.516,alpha_5,-0.938,-0.025,-0.189,-0.213,0.021,0.114,-0.193,2.415,-0.139,0.444,-0.003,2.390,0.204,-0.233,0.135,-0.001,-0.508,-0.079,-0.005,0.022,-0.078,-0.069,0.002,0.000,-0.000
14.364,24.517,139.081,16.401,-83.360,-178.202,alpha_5,-0.960,-0.930,0.075,0.085,0.034,0.083,-0.051,1.515,0.031,0.061,1.411,0.232,-0.022,-0.076,-0.005,-0.002,0.034,0.007,0.000,-0.006,-0.005,0.016,-0.000,0.000,-0.000
14.418,24.615,137.512,-95.451,87.614,-175.995,alpha_5,-1.252,-1.337,0.036,0.040,0.322,0.007,-0.034,0.909,0.246,0.045,-0.319,0.296,-0.050,-0.072,-0.001,-0.002,0.112,0.002,-0.002,-0.002,-0.008,0.006,-0.000,0.000,-0.000
14.127,25.091,136.850,-95.603,86.749,179.909,alpha_5,-1.251,-1.330,0.055,0.061,0.323,0.043,-0.050,0.926,0.254,0.061,-0.319,0.313,-0.052,-0.078,0.001,-0.007,0.100,0.005,-0.010,-0.008,-0.016,0.021,-0.001,0.000,-0.000
12.997,29.329,132.832,-99.251,86.449,173.853,alpha_5,-1.208,-1.230,0.054,0.061,0.329,0.125,-0.076,0.982,0.330,0.095,-0.323,0.362,-0.045,-0.077,0.056,-0.023,0.046,-0.009,-0.084,-0.033,0.029,0.096,-0.004,0.000,-0.000
15.906,16.413,129.761,124.060,-88.271,-13.718,alpha_5,-1.156,-1.218,0.239,0.269,-0.000,-0.398,-0.237,-3.260,1.917,-0.133,0.514,1.542,-0.264,-0.163,0.098,0.023,0.623,-0.012,0.141,0.014,-0.095,-0.030,0.003,0.000,-0.000
14.659,24.349,122.666,-59.434,74.820,164.755,alpha_5,-0.945,-0.148,0.017,0.019,0.010,0.124,-0.263,2.074,0.042,0.306,-0.005,2.061,0.090,-0.373,-0.019,0.000,-0.277,0.002,0.002,0.005,-0.012,-0.015,0.000,0.000,-0.000
14.650,24.050,141.180,-147.995,90.919,-174.428,d_5,-4.844,0.301,-0.007,-0.007,-0.152,0.189,0.012,-0.238,1.172,0.012,0.151,0.050,-0.003,-0.026,-0.037,0.001,0.013,0.010,0.007,0.004,-0.015,-0.011,0.000,0.000,-0.000
14.650,24.050,141.180,-139.456,74.793,161.241,d_5,-8.233,0.062,-0.027,-0.031,-0.030,0.167,-0.220,0.016,1.058,0.012,0.027,0.050,-0.004,-0.026,-0.036,0.001,0.014,0.010,0.007,0.004,-0.015,-0.011,0.000,0.000,-0.000
14.650,24.050,141.180,-138.264,82.192,173.179,d_5,-8.593,-0.071,0.002,0.002,0.033,0.153,-0.117,0.111,1.040,0.013,-0.028,0.051,-0.004,-0.025,-0.034,0.001,0.015,0.010,0.007,0.004,-0.015,-0.011,0.000,0.000,-0.000
14.650,24.050,141.180,-133.668,101.431,-156.289,d_5,-6.714,-0.050,-0.041,-0.047,0.022,0.148,0.177,0.150,0.970,0.013,-0.059,0.051,-0.004,-0.025,-0.034,0.001,0.014,0.010,0.007,0.004,-0.014,-0.011,0.000,0.000,-0.000
14.650,24.050,141.180,-130.351,112.127,-133.784,d_5,-5.901,0.266,0.068,0.076,-0.128,0.175,0.320,0.008,0.920,0.012,0.025,0.048,-0.003,-0.027,-0.040,0.001,0.011,0.011,0.006,0.004,-0.015,-0.012,0.000,0.000,-0.000
14.650,24.050,141.180,-122.158,116.697,-117.390,d_5,-4.614,0.338,0.127,0.143,-0.162,0.173,0.395,0.050,0.792,0.012,0.017,0.046,-0.002,-0.027,-0.043,0.001,0.009,0.012,0.006,0.004,-0.015,-0.012,0.000,0.000,-0.000
14.550,24.530,141.470,-142.155,89.526,-176.011,d_5,-33.408,-0.002,0.000,0.000,0.001,0.159,-0.007,0.000,1.087,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000
