q1,q2,q3,q4,q5,q6,index,obj,alpha_6,a_6,theta_6,d_6,theta_5,a_5,alpha_5,d_5,alpha_4,a_4,theta_4,a_3,alpha_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
118.273,1.426,108.793,136.123,-120.000,123.383,a_5,-0.357,0.780,0.080,0.105,-0.468,-5.691,-1.655,0.673,0.087,1.071,1.332,1.288,0.356,2.414,-1.202,0.040,0.703,0.070,0.023,0.380,-0.452,-1.082,0.154,0.000,-0.000
105.93,-10.52,117.31,-16.77,90,-15.93,LINEAR,,,,,,,,,,,,,,,,,,,,,,,,,
103.797,10.026,126.547,133.451,-93.526,-193.976,alpha_5,-3.401,0.000,0.003,0.002,0.000,-0.028,-0.023,-7.188,1.992,-0.351,0.174,0.344,-0.361,-0.056,-0.036,-0.037,0.102,0.009,-0.085,-0.008,-0.090,-0.007,-0.000,-0.000,-0.000
105.387,5.404,129.067,135.314,-92.756,1.175,alpha_5,-3.208,-1.220,0.119,0.091,0.000,-0.575,-0.164,-7.390,1.986,-0.180,0.178,0.566,-0.174,-0.079,0.004,-0.009,0.209,-0.000,-0.004,-0.001,-0.066,-0.002,-0.001,0.000,-0.000
105.237,5.674,133.803,56.469,-87.704,179.373,alpha_5,-3.167,0.660,-0.054,-0.041,-0.893,0.047,-0.082,5.764,-1.187,0.337,1.066,0.165,0.041,0.022,0.045,0.002,-0.129,-0.015,0.001,-0.030,0.107,0.095,-0.001,0.000,-0.000
102.160,37.152,83.823,148.895,-94.013,-186.538,alpha_5,-2.400,-0.007,-0.119,-0.091,0.000,0.526,0.129,7.613,-1.987,-0.051,0.172,0.308,0.790,0.255,1.896,0.065,-0.751,-0.479,0.495,-0.018,-0.299,0.104,0.004,0.000,-0.000
110.435,-9.154,123.050,-180.000,-85.015,326.826,alpha_5,-1.909,-0.609,0.728,0.556,-0.378,-0.834,-0.252,-6.441,1.864,-0.124,0.539,2.124,-0.581,-0.069,-0.971,0.069,0.407,0.344,0.213,0.102,-0.066,-0.230,0.010,0.000,-0.000
111.302,-9.229,123.445,-180.000,-82.434,316.223,alpha_5,-1.908,-0.567,0.914,0.698,-0.373,-0.935,-0.275,-6.432,1.863,-0.119,0.524,2.090,-0.493,-0.069,-0.972,0.082,0.451,0.348,0.215,0.122,0.011,-0.269,0.013,0.000,-0.000
111.585,-9.073,123.557,-180.000,-80.468,-52.839,alpha_5,-1.905,-0.516,1.063,0.812,-0.370,-0.992,-0.286,-6.422,1.863,-0.097,0.513,2.074,-0.445,-0.070,-0.958,0.087,0.468,0.341,0.212,0.128,0.047,-0.280,0.015,0.000,-0.000
112.395,-10.177,124.772,-180.000,-76.288,278.660,alpha_5,-1.893,-0.301,1.399,1.069,-0.353,-1.122,-0.314,-6.405,1.867,-0.041,0.478,1.984,-0.353,-0.075,-1.032,0.100,0.494,0.363,0.229,0.141,0.116,-0.304,0.019,0.000,-0.000
112.539,-9.810,124.861,-180.000,-74.927,254.256,alpha_5,-1.886,-0.041,1.475,1.127,-0.355,-1.126,-0.316,-6.350,1.865,-0.048,0.474,1.962,-0.331,-0.073,-1.006,0.102,0.502,0.355,0.224,0.145,0.134,-0.312,0.019,-0.000,-0.000
111.782,-9.152,124.476,-180.000,-78.380,-140.148,alpha_5,-1.885,0.342,1.186,0.906,-0.376,-0.987,-0.290,-6.245,1.859,-0.082,0.511,1.966,-0.420,-0.067,-0.976,0.089,0.459,0.349,0.213,0.134,0.057,-0.295,0.016,0.000,-0.000
112.006,-9.452,124.696,-180.000,-77.185,-133.598,alpha_5,-1.885,0.273,1.277,0.975,-0.369,-1.019,-0.296,-6.270,1.861,-0.078,0.500,1.957,-0.399,-0.069,-0.992,0.093,0.471,0.354,0.217,0.138,0.075,-0.300,0.017,0.000,-0.000
112.370,-9.775,124.895,-180.000,-75.363,242.140,alpha_5,-1.885,0.097,1.427,1.090,-0.359,-1.087,-0.308,-6.320,1.865,-0.061,0.481,1.954,-0.356,-0.072,-1.007,0.099,0.491,0.357,0.223,0.143,0.113,-0.308,0.018,0.000,-0.000
110.282,-9.077,123.920,-180.000,-85.822,-167.592,alpha_5,-1.883,0.556,0.668,0.510,-0.395,-0.784,-0.251,-6.181,1.855,-0.103,0.558,2.002,-0.584,-0.062,-0.993,0.066,0.372,0.353,0.210,0.102,-0.085,-0.233,0.010,-0.000,-0.000
105.93,-10.52,117.31,-16.77,90,-15.93,LINEAR,,,,,,,,,,,,,,,,,,,,,,,,,
105.970,4.035,136.160,-97.812,86.603,181.020,d_5,-1.513,0.765,-0.092,-0.070,-0.284,0.184,-0.042,-0.613,0.752,-0.007,0.287,-0.065,-0.036,0.010,-0.154,0.000,-0.028,0.052,0.003,0.003,-0.004,-0.008,0.000,0.000,-0.000
106.594,2.095,134.986,132.760,-91.192,-181.302,d_5,-1.392,0.004,0.349,0.267,-0.000,-0.904,-0.252,-7.127,1.976,-0.009,0.177,0.322,-0.007,-0.048,-0.021,0.012,0.108,0.001,0.053,0.002,0.004,0.002,0.001,0.000,-0.000
107.035,0.271,134.096,135.959,-87.761,-25.328,d_5,-1.174,-1.200,0.581,0.443,0.000,-1.013,-0.268,-7.336,1.974,0.004,0.169,0.538,-0.006,-0.078,-0.047,0.019,0.178,0.004,0.085,0.002,0.016,0.003,0.003,0.000,-0.000
106.585,1.442,132.745,135.080,-95.448,-360.000,d_5,-1.151,-1.221,0.029,0.022,0.000,-0.912,-0.254,-7.354,1.976,-0.050,0.187,0.570,-0.048,-0.081,-0.026,0.012,0.196,0.002,0.064,0.002,-0.018,0.002,0.001,0.000,-0.000
105.877,4.802,138.649,-128.597,89.446,-1.016,d_5,-0.652,0.652,-0.037,-0.028,-0.897,0.348,-0.001,-1.939,0.824,-0.000,0.897,-0.231,0.051,-0.030,-0.051,0.000,0.076,0.017,-0.001,-0.002,0.010,0.005,-0.000,0.000,-0.000
105.514,5.602,129.622,66.224,-73.261,238.051,d_5,-0.621,0.867,-1.316,-1.005,-0.844,-0.945,-0.318,6.100,-1.309,0.447,0.971,0.375,0.123,0.088,0.052,0.002,-0.261,-0.015,0.002,-0.016,0.056,0.054,-0.001,0.000,-0.000
105.103,6.358,131.017,63.761,-98.888,-227.015,d_5,-0.612,0.873,0.893,0.682,-0.868,0.932,0.136,6.042,-1.280,0.304,1.032,0.359,-0.062,0.056,0.119,0.004,-0.238,-0.043,0.004,-0.037,0.146,0.112,0.001,0.000,-0.000
102.060,37.102,83.892,148.771,-93.180,-186.630,d_5,-0.581,-0.005,-0.117,-0.089,-0.000,0.837,0.213,7.586,-1.980,-0.105,0.170,0.294,0.602,0.256,1.862,0.067,-0.948,-0.426,0.493,-0.021,-0.096,0.107,0.007,0.000,-0.000
112.112,-7.195,123.392,-180.000,-79.061,220.235,d_5,-0.560,0.343,1.186,0.906,-0.385,-1.125,-0.328,-6.190,1.848,0.003,0.519,2.007,-0.300,-0.060,-0.846,0.094,0.491,0.298,0.184,0.144,0.143,-0.320,0.018,-0.000,-0.000
111.956,-6.965,123.195,-180.000,-80.967,-148.874,d_5,-0.559,0.429,1.044,0.798,-0.393,-1.088,-0.323,-6.158,1.844,-0.011,0.535,2.017,-0.324,-0.057,-0.835,0.091,0.481,0.296,0.180,0.143,0.125,-0.319,0.018,0.000,-0.000
