q1,q2,q3,q4,q5,q6,index,obj,a_6,d_6,alpha_6,a_5,theta_6,theta_5,a_4,alpha_5,d_5,alpha_4,beta_3,theta_4,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,alpha_1,a_1,d_1,theta_1
14.650,-7.710,122.120,-24.410,90.000,-14.640,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
-1.934,27.537,129.472,-15.178,179.909,50.003,theta_5,-0.923,1.280,0.254,1.442,-0.292,1.488,3.322,-0.145,0.549,-0.324,-0.711,-1.245,0.022,-0.485,0.141,-1.789,2.238,0.639,0.105,0.091,-0.393,1.261,0.233,0.000,-0.000
14.650,-7.710,122.120,-24.410,90.000,-14.640,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
44.440,-7.710,122.120,-24.410,90.000,-14.640,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
38.440,23.330,134.450,23.580,-25.330,-179.909,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
17.750,15.880,139.530,24.590,-97.260,-179.909,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
13.650,25.114,139.452,16.042,-61.342,-179.909,theta_5,-1.338,-0.156,0.000,-0.176,-0.733,1.085,1.986,1.281,0.615,0.290,-0.637,-0.070,0.039,-0.158,-0.005,-0.056,0.042,0.037,-0.014,-0.014,-0.028,0.059,0.007,-0.000,-0.000
14.730,23.637,141.454,-90.090,115.211,-73.827,a_4,-0.719,-0.251,0.042,-0.283,-0.136,0.362,0.006,-0.158,0.184,0.207,-0.016,0.007,-0.005,-0.004,-0.001,-0.019,-0.012,0.005,0.007,0.001,0.003,-0.007,0.000,0.000,-0.000
14.732,23.633,141.457,-90.076,50.259,73.789,a_4,-0.719,0.442,0.008,0.498,-0.065,-0.570,0.006,-0.158,0.194,0.207,-0.016,0.007,-0.005,-0.004,-0.001,-0.019,-0.012,0.005,0.007,0.001,0.003,-0.007,0.000,0.000,-0.000
14.683,24.182,140.019,-91.289,84.525,-0.087,a_4,-0.645,-0.181,-0.169,-0.204,0.013,-0.068,0.133,0.177,-0.244,0.237,0.015,-0.032,0.106,-0.017,0.012,0.019,-0.008,-0.008,0.000,-0.000,0.001,-0.004,0.000,0.000,-0.000
