q1,q2,q3,q4,q5,q6,index,obj,a_6,d_6,a_5,theta_6,alpha_6,alpha_5,theta_5,a_4,d_5,alpha_4,beta_3,theta_4,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,alpha_1,a_1,d_1,theta_1
14.299,24.662,138.091,17.253,-87.473,174.713,6,-4.679,0.209,0.000,-0.888,-0.057,0.236,1.566,0.177,1.413,-0.001,0.031,0.021,0.270,-0.093,-0.021,0.021,0.016,0.002,-0.010,-0.004,-0.011,0.031,-0.000,0.000,-0.000
14.244,24.628,138.092,17.336,-82.532,-176.097,6,-4.654,0.035,0.000,-0.890,-0.035,0.039,1.569,0.088,1.412,-0.002,0.052,0.015,0.270,-0.087,-0.021,0.019,0.012,0.004,-0.010,-0.005,-0.013,0.036,-0.000,0.000,-0.000
14.730,23.637,141.454,-90.090,115.211,-73.827,6,-0.719,-0.251,0.042,-0.136,0.362,-0.283,0.184,0.006,-0.158,0.207,-0.016,0.007,-0.005,-0.004,-0.001,-0.019,-0.012,0.005,0.007,0.001,0.003,-0.007,0.000,0.000,-0.000
14.732,23.633,141.457,-90.076,50.259,73.789,6,-0.719,0.442,0.008,-0.065,-0.570,0.498,0.194,0.006,-0.158,0.207,-0.016,0.007,-0.005,-0.004,-0.001,-0.019,-0.012,0.005,0.007,0.001,0.003,-0.007,0.000,0.000,-0.000
14.683,24.182,140.019,-91.289,84.525,-0.087,6,-0.645,-0.181,-0.169,0.013,-0.068,-0.204,-0.244,0.133,0.177,0.237,0.015,-0.032,0.106,-0.017,0.012,0.019,-0.008,-0.008,0.000,-0.000,0.001,-0.004,0.000,0.000,-0.000
14.684,24.190,139.996,-91.515,79.673,6.950,6,-0.643,-0.327,-0.171,0.019,-0.127,-0.369,-0.242,0.130,0.179,0.241,0.010,-0.032,0.108,-0.019,0.012,0.020,-0.008,-0.009,0.000,-0.000,0.001,-0.004,0.000,0.000,-0.000
14.650,24.050,141.180,-147.995,90.919,-174.428,8.000,-117.461,0.005,-0.126,0.250,0.012,0.005,-0.238,0.185,0.125,1.175,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000
14.652,24.050,141.180,-144.946,102.963,-154.764,8.000,-109.120,0.081,-0.170,0.335,0.165,0.091,-0.246,0.191,0.131,1.131,-0.000,0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000
14.650,24.050,141.180,-139.456,74.793,161.241,8.000,-105.832,-0.003,-0.005,0.010,-0.225,-0.003,0.014,0.162,-0.000,1.059,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000
14.650,24.050,141.180,-139.372,107.514,-145.569,8.000,-105.398,0.089,-0.146,0.294,0.237,0.100,-0.148,0.185,0.081,1.054,-0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000
