q1,q2,q3,q4,q5,q6,index,alpha_6,theta_6,a_6,a_5,alpha_5,d_6,theta_5,a_4,d_5,alpha_4,theta_4,beta_3,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,a_1,alpha_1,d_1,theta_1
13.751,20.115,118.748,-48.004,90.903,6.736,11.000,-0.040,-0.300,-0.266,0.026,-0.011,0.010,0.300,-0.012,-0.011,0.300,-0.033,-1.160,0.400,0.400,-0.400,0.357,0.180,-0.029,0.016,-0.031,-0.002,0.113,0.000,-0.000
13.721,20.116,118.757,-47.792,98.428,-4.318,11.000,-0.002,-0.041,-0.036,0.106,0.011,-0.009,0.300,-0.015,-0.014,0.298,-0.038,-1.160,0.400,0.400,-0.400,0.362,0.180,-0.030,0.017,-0.031,-0.002,0.115,0.000,-0.000
15.010,19.799,119.248,-39.308,104.431,-25.845,11.000,0.054,0.271,0.240,0.162,0.131,0.078,0.121,-0.133,-0.103,0.207,-0.228,-1.141,0.400,0.400,-0.400,0.144,0.150,-0.035,-0.001,0.002,0.000,-0.006,0.000,-0.000
16.556,27.371,111.051,-37.686,82.584,-27.531,11.000,-0.130,0.109,0.097,-0.083,-0.027,0.161,-0.280,-0.175,-0.067,-0.300,-0.300,-1.125,-0.191,0.400,0.400,-0.400,-0.145,0.053,-0.027,0.021,-0.002,-0.076,0.000,-0.000
14.759,22.541,133.421,-59.202,79.457,-25.658,12.000,0.049,0.130,0.115,-0.023,0.144,-0.100,-0.019,-0.059,-0.019,-0.300,-0.072,0.086,-0.790,0.060,-0.060,-0.060,-0.017,-0.005,0.002,-0.003,0.003,0.005,0.000,-0.000
15.487,23.194,144.833,-85.049,74.244,-56.240,12.000,-0.299,-0.114,-0.101,-0.079,0.165,-0.122,-0.230,-0.078,0.039,0.300,-0.300,-0.300,0.770,0.052,0.060,0.011,-0.013,-0.001,0.006,0.012,-0.007,-0.022,0.000,-0.000
15.624,24.068,145.139,-89.263,103.236,30.781,12.000,-0.300,0.241,0.214,0.065,0.069,-0.152,0.287,-0.059,0.070,-0.300,-0.300,0.289,-0.721,0.036,-0.060,-0.060,-0.046,-0.002,0.004,0.004,0.011,-0.028,0.000,-0.000
15.274,22.735,134.743,-63.587,91.879,16.295,12.000,-0.282,-0.269,-0.239,-0.000,-0.001,0.000,0.031,-0.029,0.001,0.300,-0.084,-0.300,0.661,0.038,-0.060,0.060,0.030,-0.002,-0.003,-0.002,0.005,-0.004,0.000,-0.000
9.914,24.170,138.868,-75.017,89.952,9.918,14.000,0.172,0.132,0.117,-0.034,-0.155,0.011,0.013,-0.012,0.085,-0.068,-0.179,-0.200,-0.132,0.028,-0.667,-0.080,0.070,0.026,-0.034,-0.076,0.080,0.080,0.000,-0.000
10.258,22.956,138.207,-71.307,85.530,-10.690,14.000,0.081,-0.007,-0.006,-0.019,-0.050,-0.077,-0.005,-0.000,0.080,0.037,-0.138,0.006,-0.200,0.023,-0.666,-0.080,0.015,0.033,-0.012,-0.072,0.080,0.080,0.000,-0.000
10.254,22.980,138.211,-71.419,87.622,-9.819,14.000,0.049,-0.005,-0.005,-0.017,-0.091,-0.040,-0.008,-0.001,0.081,0.033,-0.138,0.002,-0.200,0.023,-0.666,-0.080,0.016,0.033,-0.013,-0.072,0.080,0.080,0.000,-0.000
10.032,23.843,139.793,-77.132,83.911,-38.943,14.000,-0.200,0.071,0.063,-0.039,-0.044,-0.084,-0.062,-0.017,0.089,0.020,-0.189,-0.200,0.025,0.029,-0.664,-0.080,0.055,0.029,-0.028,-0.075,0.080,0.080,0.000,-0.000
15.750,26.904,139.979,-86.116,79.645,-15.353,14.000,0.158,-0.075,-0.066,-0.099,0.071,-0.200,-0.108,0.098,0.090,-0.200,0.200,-0.041,0.200,-0.058,0.495,0.067,-0.080,0.011,-0.008,0.029,-0.007,-0.080,0.000,-0.000
11.828,20.654,143.404,-74.492,90.920,-6.578,15.000,0.012,0.090,0.080,-0.047,-0.053,0.013,-0.055,-0.007,0.021,-0.016,-0.059,-0.061,-0.010,0.030,-0.100,-0.599,-0.050,0.050,-0.050,-0.032,0.019,0.040,0.000,-0.000
11.828,20.654,142.849,-73.714,95.143,-12.070,15.000,-0.042,0.014,0.012,-0.034,-0.076,0.037,-0.057,-0.004,0.020,-0.037,-0.033,-0.032,-0.053,0.022,-0.100,-0.599,-0.050,0.050,-0.050,-0.032,0.019,0.040,0.000,-0.000
14.9,-5.5,121.5,-25.9,90,-14.9,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
50,-30,55,47,78,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103.528,-80.214,-11.701,103,67,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103.336,-80.214,-11.701,132.463,66.795,127.130,16.000,-1.270,1.341,1.191,1.023,0.584,0.745,2.503,-0.600,0.086,-3.357,-0.555,-3.500,-3.075,1.124,-2.718,0.099,7.192,0.955,1.350,1.500,0.113,-0.304,0.000,-0.000
102.985,-80.214,-10.948,129.275,81.664,148.054,16.000,-1.291,0.927,0.823,1.233,0.710,0.685,2.552,-0.618,0.122,-3.275,-0.502,-3.500,-3.122,1.128,-2.757,0.085,7.192,0.957,1.346,1.500,0.104,-0.301,0.000,-0.000
97.828,-80.214,-3.961,150.914,53.011,79.899,16.000,-0.820,1.864,1.655,0.907,0.226,0.535,2.281,-0.326,-0.127,-3.500,-0.109,-3.500,-3.491,1.178,-3.312,-0.128,7.183,0.978,1.287,1.500,-0.027,-0.251,0.000,-0.000
97.828,-80.214,-3.961,130,55,150,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
97.828,-80.214,-3.961,100,60,130,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
97.828,-80.214,-3.961,100,60,-86.542,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
100.006,-80.214,-8.466,145.354,120.911,-86.542,16.000,0.129,0.376,0.333,1.537,0.223,0.102,2.310,-0.446,-0.058,-3.500,-0.429,-3.500,-3.232,1.155,-3.083,-0.038,7.188,0.969,1.313,1.500,0.029,-0.271,0.000,-0.000
103.908,-80.214,-6.368,142.011,119.192,-165.981,16.000,-0.575,0.089,0.079,1.573,0.563,0.131,2.561,-0.458,-0.092,-3.431,0.001,-3.500,-3.471,1.130,-2.652,0.121,7.193,0.953,1.356,1.500,0.127,-0.311,0.000,-0.000
14.900,-5.500,121.500,-25.900,90.000,-14.900,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
50.000,-30.000,55.000,47.000,78.000,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103.528,-40.000,25.000,103.000,67.000,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
129.488,-43.370,-42.406,179.909,69.329,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
129.488,-43.370,-42.406,179.909,69.329,4.051,19.000,0.156,1.056,0.938,0.859,0.345,0.092,1.692,0.037,-0.287,-3.208,0.517,-3.665,-0.348,1.301,4.983,1.690,5.000,0.290,1.133,10.289,-2.000,-0.236,0.000,-0.000
129.488,-43.367,-27.106,177.076,64.847,56.315,19.000,0.090,1.529,1.357,0.850,1.046,-0.013,2.280,0.168,-0.426,-3.332,1.626,-3.878,-1.256,1.464,5.000,1.686,5.000,0.290,1.133,10.289,-2.000,-0.239,0.000,-0.000
129.488,-42.880,-51.910,113.398,76.051,136.266,19.000,-0.012,0.099,0.088,0.954,0.135,0.059,2.396,0.039,0.784,-2.336,0.056,-3.431,0.113,1.185,5.000,1.712,4.937,0.291,1.134,10.287,-2.000,-0.231,0.000,-0.000
129.488,-43.367,-58.595,115.137,60.309,116.052,19.000,-0.025,0.113,0.100,0.754,-0.205,0.070,2.259,0.089,0.841,-2.647,-0.283,-3.209,0.532,1.088,4.998,1.686,5.000,0.290,1.133,10.289,-2.000,-0.239,0.000,-0.000
129.488,-43.352,-77.098,132.050,34.136,78.296,19.000,-0.009,0.040,0.036,0.405,-0.798,0.028,1.710,0.106,0.859,-3.497,-0.682,-2.404,1.324,0.815,5.000,1.687,4.998,0.290,1.133,10.289,-2.000,-0.239,0.000,-0.000
14.9,-5.5,121.5,-25.9,90,-14.9,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
-22,6,31,43,110,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-56.628,17.157,-54.572,87.376,153.797,108.621,20.000,-0.482,-0.570,-0.506,0.406,-0.120,-0.088,1.722,-0.014,0.796,1.608,0.439,-2.318,-0.715,1.829,0.625,2.500,2.500,0.134,-0.600,2.500,7.728,0.175,0.000,-0.000
-56.622,17.155,-60.882,89.010,148.749,70.503,20.000,-0.593,-0.247,-0.219,0.314,-0.803,-0.054,1.604,0.013,0.864,2.056,-0.181,-2.383,-0.991,1.797,0.631,2.500,2.500,0.134,-0.600,2.500,7.728,0.174,0.000,-0.000
-56.663,17.168,-57.692,68.433,129.320,92.701,20.000,-0.304,-0.718,-0.638,-0.070,-0.851,-0.047,1.027,0.161,1.099,2.301,0.094,-2.411,-0.868,1.812,0.593,2.500,2.500,0.135,-0.600,2.500,7.728,0.179,0.000,-0.000
-56.668,17.169,-54.432,100.814,173.999,110.983,20.000,-0.390,-0.477,-0.423,0.677,0.154,-0.329,1.905,-0.057,0.590,1.161,0.415,-2.384,-0.727,1.828,0.589,2.500,2.500,0.136,-0.600,2.500,7.728,0.180,0.000,-0.000
-56.579,17.141,-62.941,78.550,149.445,46.762,20.000,-0.578,-0.164,-0.145,0.240,-1.349,-0.111,1.243,0.108,1.033,2.495,-0.340,-2.342,-1.066,1.786,0.670,2.500,2.500,0.132,-0.601,2.500,7.728,0.168,0.000,-0.000
-56.718,17.185,-57.623,44.411,110.890,92.711,20.000,0.244,-0.947,-0.841,-0.435,-1.244,-0.337,0.098,0.465,1.328,2.500,0.051,-2.500,-0.888,1.810,0.544,2.500,2.500,0.137,-0.599,2.500,7.728,0.186,0.000,-0.000
-56.488,17.114,-60.966,81.140,173.447,48.305,20.000,-0.417,0.090,0.080,0.540,-1.041,-0.350,1.553,0.063,0.964,2.327,-0.064,-2.154,-0.944,1.803,0.757,2.500,2.500,0.128,-0.602,2.500,7.727,0.156,0.000,-0.000
