q1,q2,q3,q4,q5,q6,index,obj,a_6,d_6,alpha_6,a_5,theta_6,theta_5,a_4,alpha_5,d_5,alpha_4,beta_3,theta_4,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,alpha_1,a_1,d_1,theta_1
-92.697,-10.470,83.410,-124.320,-134.322,178.519,8.000,-0.082,0.206,0.259,-0.558,0.014,0.232,0.253,1.406,0.217,0.965,0.546,-3.826,1.777,-2.148,1.295,-5.588,0.661,-0.358,0.295,-0.643,4.785,7.291,0.941,0.000,-0.000
-91.855,-7.697,75.927,-121.537,-134.862,143.998,8.000,-0.082,0.035,0.259,-0.590,-0.003,0.039,0.836,1.396,0.009,0.966,0.648,-4.341,2.029,-2.303,1.316,-5.163,0.621,-0.108,0.316,-0.673,4.720,7.265,0.911,-0.000,-0.000
-118.289,39.483,-50.227,115.905,122.606,179.909,8.000,-0.082,0.169,0.259,-0.567,-0.051,0.191,0.116,-0.095,0.219,0.964,0.544,-3.959,-0.077,-0.454,1.473,0.452,1.325,4.141,0.480,-0.569,7.179,6.813,1.165,-0.000,-0.000
-120.366,34.084,-37.144,109.164,123.191,-165.824,8.000,-0.081,0.202,0.259,-0.571,-0.032,0.228,-0.120,-0.104,0.185,0.965,0.516,-4.241,-0.149,-0.522,1.545,-0.095,1.455,3.622,0.493,-0.562,7.362,6.726,1.180,0.000,-0.000
-120.617,34.262,-36.126,108.496,122.268,-171.970,8.000,-0.081,0.189,0.259,-0.568,-0.032,0.213,-0.005,-0.108,0.207,0.965,0.494,-4.181,-0.121,-0.596,1.555,-0.113,1.579,3.641,0.498,-0.547,7.378,6.725,1.188,-0.000,-0.000
-124.305,34.657,-37.258,110.695,120.848,179.909,8.000,-0.081,0.137,0.259,-0.568,-0.046,0.154,0.125,-0.121,0.219,0.965,0.542,-4.002,-0.104,-0.529,1.547,0.113,1.454,3.565,0.510,-0.541,7.696,6.547,1.209,-0.000,-0.000
-126.156,30.794,-27.007,105.365,119.887,179.909,8.000,-0.081,0.134,0.259,-0.568,-0.042,0.151,0.132,-0.131,0.219,0.965,0.521,-4.072,-0.116,-0.680,1.604,-0.318,1.608,3.198,0.515,-0.523,7.847,6.461,1.225,0.000,-0.000
-128.534,27.997,-20.687,102.646,118.897,-179.808,8.000,-0.081,0.126,0.259,-0.569,-0.053,0.142,0.108,-0.139,0.220,0.964,0.534,-4.090,-0.125,-0.719,1.633,-0.547,1.558,2.900,0.516,-0.520,8.042,6.327,1.237,-0.000,-0.000
-126.719,26.811,-16.959,99.768,119.221,179.909,8.000,-0.081,0.140,0.259,-0.567,-0.040,0.158,0.136,-0.136,0.219,0.965,0.499,-4.137,-0.122,-0.865,1.651,-0.814,1.747,2.856,0.511,-0.511,7.890,6.438,1.233,0.000,-0.000
-125.126,26.912,-17.974,99.829,120.350,-172.204,8.000,-0.081,0.173,0.259,-0.569,-0.037,0.195,-0.009,-0.128,0.209,0.965,0.487,-4.259,-0.140,-0.831,1.642,-0.836,1.700,2.899,0.505,-0.525,7.761,6.515,1.220,-0.000,-0.000
-127.720,21.692,-5.158,93.520,118.841,-179.909,8.000,-0.081,0.136,0.259,-0.568,-0.039,0.154,0.133,-0.140,0.219,0.965,0.495,-4.169,-0.127,-1.064,1.693,-1.400,1.787,2.405,0.496,-0.506,7.971,6.386,1.240,0.000,-0.000
-129.273,19.428,-0.079,91.289,118.097,176.170,8.000,-0.081,0.114,0.259,-0.569,-0.044,0.128,0.198,-0.146,0.217,0.964,0.515,-4.101,-0.127,-1.135,1.711,-1.613,1.762,2.188,0.489,-0.500,8.096,6.299,1.248,0.000,-0.000
-119.895,6.138,29.604,71.667,121.597,179.909,8.000,-0.080,0.175,0.259,-0.562,-0.005,0.197,0.194,-0.115,0.217,0.966,0.436,-4.106,-0.099,-1.942,1.726,-3.523,1.941,1.137,0.398,-0.511,7.302,6.787,1.200,0.000,-0.000
-116.239,1.465,39.482,64.861,123.288,179.592,8.000,-0.080,0.184,0.259,-0.560,0.010,0.207,0.226,-0.101,0.217,0.966,0.427,-3.998,-0.080,-2.195,1.706,-4.142,1.853,0.726,0.361,-0.521,6.976,6.935,1.176,0.000,-0.000
-78.152,-23.877,103.656,4.481,134.472,122.493,8.000,-0.080,0.110,0.259,-0.599,0.149,0.124,1.372,0.022,-0.257,0.949,0.706,-1.944,-0.087,-2.431,1.171,-7.708,-0.157,-1.289,0.206,-0.526,3.348,7.166,0.879,0.000,-0.000
-100.132,-12.934,68.844,40.495,129.844,179.909,8.000,-0.080,0.227,0.259,-0.553,0.047,0.255,0.283,-0.033,0.220,0.964,0.417,-3.415,0.004,-2.872,1.541,-5.945,0.999,-0.572,0.255,-0.572,5.471,7.311,1.045,0.000,-0.000
-107.592,-6.053,54.488,52.681,127.067,-174.625,8.000,-0.080,0.231,0.259,-0.557,0.032,0.260,0.153,-0.064,0.213,0.965,0.405,-3.827,-0.055,-2.635,1.634,-5.127,1.494,0.041,0.303,-0.551,6.180,7.191,1.109,-0.000,-0.000
-107.127,-7.018,57.098,50.977,127.048,179.909,8.000,-0.079,0.212,0.259,-0.556,0.035,0.239,0.263,-0.064,0.218,0.965,0.410,-3.708,-0.034,-2.640,1.626,-5.254,1.477,-0.047,0.295,-0.547,6.134,7.206,1.108,0.000,-0.000
-112.641,6.321,51.446,-97.288,-124.168,-176.451,8.000,-0.079,0.219,0.259,-0.557,0.031,0.246,0.187,1.505,0.216,0.965,0.401,-4.161,1.889,-1.552,1.622,-3.820,2.102,1.172,0.395,-0.517,6.643,7.070,1.157,-0.000,-0.000
-122.345,11.062,40.580,-88.350,-119.972,-166.733,8.000,-0.079,0.234,0.259,-0.566,-0.001,0.264,-0.050,1.543,0.188,0.966,0.474,-3.996,1.935,-1.216,1.707,-2.960,2.133,1.560,0.435,-0.487,7.510,6.689,1.223,0.000,-0.000
-123.715,17.294,26.762,-80.551,-119.866,179.909,8.000,-0.079,0.170,0.259,-0.564,-0.015,0.191,0.178,1.546,0.217,0.966,0.424,-4.204,1.947,-0.996,1.734,-2.171,2.109,2.098,0.472,-0.490,7.629,6.617,1.228,0.000,-0.000
-121.469,9.849,44.040,-90.639,-119.901,-159.617,8.000,-0.079,0.272,0.259,-0.570,0.011,0.306,-0.159,1.542,0.149,0.966,0.496,-3.896,1.952,-1.256,1.696,-3.165,2.210,1.457,0.427,-0.478,7.430,6.739,1.221,0.000,-0.000
-129.323,24.658,10.406,-70.295,-117.422,-174.814,8.000,-0.079,0.175,0.259,-0.567,-0.036,0.198,0.042,1.566,0.213,0.965,0.464,-4.025,1.964,-0.640,1.760,-1.065,1.968,2.625,0.515,-0.473,8.092,6.317,1.259,0.000,-0.000
-127.886,24.608,10.474,-70.677,-118.053,179.909,8.000,-0.079,0.152,0.259,-0.566,-0.031,0.171,0.151,1.560,0.218,0.965,0.443,-4.125,1.965,-0.641,1.755,-1.117,1.969,2.653,0.511,-0.482,7.977,6.395,1.250,-0.000,-0.000
96.175,-10.833,139.917,-179.909,-56.929,30.735,8.000,-0.079,-0.431,0.228,-0.761,-0.476,-0.486,-0.044,1.494,-1.490,0.799,-1.113,1.298,3.692,-2.176,0.617,-3.665,-1.241,1.834,0.224,0.231,6.263,-3.962,0.851,-0.000,-0.000
-123.278,7.668,49.513,-93.410,-119.053,-146.175,8.000,-0.079,0.324,0.259,-0.588,0.006,0.365,-0.394,1.550,0.033,0.966,0.599,-3.685,2.035,-1.220,1.690,-3.350,2.177,1.253,0.414,-0.468,7.585,6.657,1.234,0.000,-0.000
129.488,10.555,-159.855,89.842,-46.529,-29.995,8.000,-0.079,0.439,0.259,-0.836,0.138,0.494,-0.107,1.378,-1.766,0.938,-2.940,-1.752,3.298,1.085,0.188,1.816,4.453,-0.100,0.350,0.879,9.054,-1.766,0.804,0.000,-0.000
-124.016,42.090,-29.052,-49.752,-119.332,175.608,8.000,-0.078,0.125,0.259,-0.566,-0.010,0.141,0.267,1.543,0.215,0.965,0.439,-3.834,1.960,0.039,1.669,0.897,1.583,4.219,0.513,-0.506,7.660,6.589,1.222,-0.000,-0.000
-129.488,4.045,66.308,-105.952,-120.772,-79.735,8.000,-0.076,0.394,0.259,-0.807,-0.094,0.443,-1.029,1.578,-1.043,0.953,1.179,-3.272,2.966,-0.797,1.634,-3.528,2.052,0.924,0.388,-0.438,8.095,6.334,1.272,-0.000,-0.000
129.488,-76.652,122.897,60.394,58.036,122.904,8.000,-0.075,-0.264,0.259,-0.655,-0.211,-0.297,0.756,-0.108,-0.221,0.931,-0.229,-3.239,-0.582,-0.059,1.692,-4.877,3.000,4.522,-0.677,0.299,8.781,-2.219,1.154,0.000,-0.000
129.488,-77.517,126.077,58.524,58.727,138.875,8.000,-0.075,-0.230,0.259,-0.621,-0.215,-0.259,0.551,-0.112,0.013,0.928,-0.114,-3.360,-0.361,-0.262,1.688,-4.833,3.037,4.486,-0.696,0.284,8.778,-2.231,1.157,0.000,-0.000
-129.488,25.195,-109.369,-179.909,134.298,82.554,8.000,-0.075,-0.388,0.259,-0.792,-0.253,-0.438,0.850,-0.030,-0.869,0.882,2.557,-2.657,-0.576,0.196,0.593,1.455,-2.229,2.491,0.390,-0.946,8.342,5.936,0.956,0.000,-0.000
