q1,q2,q3,q4,q5,q6,index,obj,alpha_6,theta_6,a_6,d_6,a_5,alpha_5,theta_5,a_4,d_5,alpha_4,beta_3,theta_4,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,alpha_1,a_1,d_1,theta_1
108,-33,-78,-18,31.06,-64.43,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
85.229,-80.214,29.570,-68.618,-84.540,-178.263,16.000,1,-0.387,1.327,1.178,0.421,0.363,-1.024,0.678,0.986,1.272,-2.634,-4.500,1.345,-4.500,1.320,-4.500,-0.536,8.082,0.903,1.082,2.500,-0.873,-0.210,0.000,-0.000
85.511,-80.214,24.710,-90.181,-81.242,-179.840,16.000,1,-0.859,1.232,1.093,0.636,0.429,-0.158,0.811,1.183,0.904,-2.620,-4.500,0.862,-4.129,1.341,-4.500,-0.492,8.064,0.902,1.087,2.500,-0.863,-0.206,-0.000,-0.000
85.229,-80.214,29.570,-95.966,-47.589,-123.591,16.000,1,-0.752,0.960,0.852,0.623,1.000,-0.608,0.919,1.190,0.888,-2.857,-4.500,1.345,-4.500,1.320,-4.500,-0.536,8.082,0.903,1.082,2.500,-0.873,-0.210,0.000,-0.000
85.229,-80.214,29.570,-124.001,-34.109,-74.294,16.000,1,-0.533,0.862,0.765,0.527,1.209,-0.678,1.244,1.193,0.443,-2.944,-4.500,1.345,-4.500,1.320,-4.500,-0.536,8.082,0.903,1.082,2.500,-0.873,-0.210,-0.000,-0.000
16.435,8.069,156.010,-72.055,102.840,-28.822,17.000,1,0.073,-0.200,-0.178,-0.077,0.066,0.102,0.099,0.034,-0.002,-0.200,-0.123,0.200,-0.181,-0.016,0.107,-0.200,0.011,0.275,0.030,0.015,-0.030,0.005,0.000,-0.000
16.434,8.268,155.855,-70.301,89.338,-7.868,17.000,1,0.081,0.160,0.142,-0.063,0.028,0.077,0.086,0.065,-0.007,-0.200,-0.119,0.200,-0.173,-0.016,0.109,-0.200,0.009,0.272,0.030,0.015,-0.030,0.005,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
50.000,-30.000,55.000,47.000,78.000,180,-1.000,1,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
129.488,-46.687,0.726,76.995,76.170,-64.356,19.000,1,0.112,1.049,0.931,-0.277,0.275,-0.670,0.045,0.302,0.815,-2.237,-6.000,0.130,2.392,1.762,4.902,-0.458,5.804,-0.043,0.438,13.276,-3.000,-0.103,0.000,-0.000
