q1,q2,q3,q4,q5,q6,index,obj,alpha_6,theta_6,a_6,d_6,theta_5,a_5,alpha_5,d_5,alpha_4,a_4,theta_4,alpha_3,a_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
-73.688,71.267,0.000,-80.888,-88.887,-106.028,a_1,-1.585,-1.242,0.224,0.171,0.627,-0.994,0.025,-3.313,1.097,0.806,1.297,-0.241,-0.954,1.817,-3.750,-0.398,-3.164,1.397,0.731,3.710,-1.431,1.473,1.844,0.000,-0.000
269.921,69.348,-3.823,-68.507,-132.956,-176.198,a_1,-1.584,-0.915,0.859,0.656,0.369,-3.338,-0.914,-3.082,1.191,1.270,1.295,-0.956,-1.310,1.825,-3.665,-0.274,-0.726,0.378,0.745,3.932,-1.218,0.805,1.844,0.000,-0.000
-69.470,83.701,0.349,-119.005,180.000,-74.990,a_1,-1.577,-0.900,-0.449,-0.343,-0.133,-3.495,-0.931,-1.981,0.599,-1.525,1.143,-0.388,-1.300,1.773,-5.295,-0.096,-0.734,2.994,0.858,1.761,2.217,1.252,1.947,0.000,-0.000
-71.053,69.178,6.900,-132.479,180.000,43.194,a_1,-1.576,0.325,0.101,0.077,-0.220,-2.857,-0.819,-0.932,0.332,-2.266,1.089,-0.883,-1.249,1.830,-4.983,-0.127,-0.959,2.358,0.773,3.228,2.016,1.692,1.898,0.000,-0.000
-70.679,82.188,0.001,-98.644,-94.985,-56.791,a_1,-1.574,-1.512,0.183,0.140,0.762,-1.109,-0.029,-3.809,0.910,0.651,1.203,-0.478,-1.272,1.752,-5.134,-0.374,-3.113,1.719,0.831,1.933,-1.257,1.014,1.910,-0.000,-0.000
-70.869,73.539,0.057,-115.955,180.000,73.413,a_1,-1.573,0.294,0.504,0.385,-0.199,-3.256,-0.933,-1.631,0.527,-1.634,1.186,-1.145,-1.389,1.820,-4.936,-0.122,-0.900,2.519,0.796,2.881,2.017,1.581,1.911,0.000,-0.000
-72.693,67.790,3.670,-78.941,-127.237,-180.000,a_1,-1.566,-1.188,0.787,0.601,0.551,-2.101,-0.595,-2.675,1.129,0.582,1.283,-1.378,-1.266,1.822,-4.927,-0.280,-2.165,1.725,0.759,3.344,0.051,1.512,1.879,0.000,-0.000
-71.597,66.735,3.826,-151.945,180.000,22.736,a_1,-1.562,0.348,0.177,0.135,-0.232,-1.714,-0.503,0.069,0.061,-3.215,0.777,-1.535,-1.379,1.839,-5.010,-0.133,-0.965,2.224,0.760,3.423,1.933,1.728,1.890,-0.000,-0.000
-84.790,76.999,0.000,-96.795,-92.253,-115.936,a_1,-1.561,-1.608,-0.223,-0.170,0.773,-1.894,-0.217,-2.162,0.807,0.575,1.202,-1.927,-1.455,1.746,-5.791,-0.406,-2.080,0.318,0.862,1.872,-2.738,0.481,1.901,-0.000,-0.000
-69.917,70.269,0.001,-143.073,180.000,234.664,a_1,-1.559,-0.841,-0.096,-0.073,-0.238,-2.235,-0.607,-0.053,0.142,-3.169,0.914,-0.956,-1.325,1.842,-4.409,-0.106,-0.874,2.605,0.757,3.482,2.409,1.859,1.887,-0.000,-0.000
-85.339,79.272,0.000,-86.382,-80.369,-97.990,a_1,-1.558,-1.312,0.025,0.019,0.696,-1.216,-0.022,-3.381,1.039,1.035,1.229,-0.428,-1.295,1.752,-4.539,-0.470,-2.698,0.051,0.823,2.413,-3.502,0.525,1.870,0.000,-0.000
-70.874,70.056,0.125,-116.180,180.000,-283.453,a_1,-1.556,0.331,0.608,0.464,-0.231,-3.196,-0.920,-1.448,0.490,-1.733,1.204,-1.142,-1.356,1.839,-4.575,-0.124,-0.945,2.448,0.763,3.403,2.099,1.766,1.891,-0.000,-0.000
267.641,70.000,2.871,-101.495,-90.201,-52.045,a_1,-1.555,-1.345,-0.259,-0.198,0.657,-1.996,-0.295,-3.013,0.708,0.862,1.311,-0.156,-1.147,1.799,-3.532,-0.436,-2.010,-0.359,0.750,3.796,-3.433,0.519,1.814,0.000,-0.000
-80.112,64.714,12.772,-111.009,-94.950,296.424,a_1,-1.553,-1.337,-0.244,-0.186,0.653,-1.690,-0.181,-2.622,0.659,0.411,1.265,-0.999,-1.320,1.803,-5.115,-0.388,-2.509,0.770,0.755,3.423,-1.855,1.076,1.858,0.000,-0.000
