q1,q2,q3,q4,q5,q6,px_r,py_r,pz_r,joint
1.57,-0.5408000000000004,1.57,0.0,1.57,0.0,0.1355415808301097,0.6247667372999776,0.26062330740796086,2.0
1.57,-0.4992000000000004,1.57,0.0,1.57,0.0,0.13553824424755134,0.6204572622121296,0.2865321849553231,2.0
1.57,-0.45760000000000045,1.57,0.0,1.57,0.0,0.13553405185252637,0.6150740173673943,0.31223942478762,2.0
1.57,-0.4160000000000005,1.57,0.0,1.57,0.0,0.13552901089917962,0.6086263174505518,0.3377005453992685,2.0
1.57,-0.3744000000000005,1.57,0.0,1.57,0.0,0.13552313010992537,0.6011253189841118,0.36287149114734407,2.0
1.57,-0.33280000000000054,1.57,0.0,1.57,0.0,0.13551641966035474,0.5925840010240654,0.38770870848151895,2.0
1.57,-0.29120000000000057,1.57,0.0,1.57,0.0,0.13550889116162862,0.5830171427020894,0.41216922130522565,2.0
1.57,-0.24960000000000057,1.57,0.0,1.57,0.0,0.13550055764038707,0.57244129765306,0.4362107053376461,2.0
1.57,-0.20800000000000057,1.57,0.0,1.57,0.0,0.13549143351620885,0.5608747653721255,0.45979156134785554,2.0
1.57,-0.16640000000000058,1.57,0.0,1.57,0.0,0.1354815345766614,0.5483375595508991,0.48287098713440807,2.0
1.57,-0.12480000000000058,1.57,0.0,1.57,0.0,0.13547087794998314,0.5348513734475594,0.5054090481258102,2.0
1.57,-0.08320000000000058,1.57,0.0,1.57,0.0,0.1354594820754466,0.5204395423507779,0.5273667464797286,2.0
1.57,-0.04160000000000058,1.57,0.0,1.57,0.0,0.13544736667145243,0.505127003202427,0.5487060885613623,2.0
1.57,-5.828670879282072e-16,1.57,0.0,1.57,0.0,0.1354345527014108,0.48894025144892783,0.5693901506842273,2.0
1.57,0.041599999999999415,1.57,0.0,1.57,0.0,0.13542106233746778,0.47190729519590335,0.5893831429995968,2.0
1.57,0.08319999999999941,1.57,0.0,1.57,0.0,0.1354069189221411,0.4540576067454599,0.6086504714240485,2.0
1.57,0.12479999999999941,1.57,0.0,1.57,0.0,0.13539214692792997,0.4354220715999556,0.6271587974979709,2.0
1.57,0.1663999999999994,1.57,0.0,1.57,0.0,0.1353767719149703,0.416032935020493,0.6448760960714472,2.0
1.57,0.2079999999999994,1.57,0.0,1.57,0.0,0.1353608204868076,0.3959237462326067,0.6617717107177056,2.0
1.57,0.2495999999999994,1.57,0.0,1.57,0.0,0.13534432024436457,0.37512930037568815,0.6778164067782564,2.0
1.57,0.2911999999999994,1.57,0.0,1.57,0.0,0.1353272997381831,0.35368557829659236,0.6929824219479264,2.0
1.57,0.33279999999999943,1.57,0.0,1.57,0.0,0.1353097884190228,0.3316296842916038,0.7072435143122647,2.0
1.57,0.3743999999999994,1.57,0.0,1.57,0.0,0.1352918165869021,0.30899978190448324,0.720575007754202,2.0
1.57,0.41599999999999937,1.57,0.0,1.57,0.0,0.13527341533866985,0.2858350278916909,0.7329538346513949,2.0
1.57,0.45759999999999934,1.57,0.0,1.57,0.0,0.135254616514198,0.26217550446904075,0.7443585757903707,2.0
1.57,0.4991999999999993,1.57,0.0,1.57,0.0,0.13523545264128897,0.2380621499570249,0.7547694974284196,2.0
1.57,0.5407999999999993,1.57,0.0,1.57,0.0,0.13521595687939209,0.213536687944809,0.7641685854390938,2.0
1.57,0.5823999999999993,1.57,0.0,1.57,0.0,0.13519616296222794,0.1886415550954705,0.7725395764822383,2.0
1.57,0.6239999999999992,1.57,0.0,1.57,0.0,0.135176105139418,0.16341982771739785,0.7798679861446205,2.0
1.57,0.6655999999999992,1.57,0.0,1.57,0.0,0.13515581811722266,0.13791514722890288,0.7861411340024591,2.0
1.57,0.7071999999999992,1.57,0.0,1.57,0.0,0.1351353369984883,0.112171644645021,0.7913481655624952,2.0
1.57,0.7487999999999991,1.57,0.0,1.57,0.0,0.1351146972219085,0.08623386421715246,0.7954800710436355,2.0
1.57,0.7903999999999991,1.57,0.0,1.57,0.0,0.13509393450070437,0.060146686357680355,0.7985297009666705,2.0
1.57,0.8319999999999991,1.57,0.0,1.57,0.0,0.13507308476082916,0.033955249982925005,0.8004917785250913,2.0
1.57,0.873599999999999,1.57,0.0,1.57,0.0,0.13505218407880565,0.007704874408803325,0.8013629087156062,2.0
1.57,0.915199999999999,1.57,0.0,1.57,0.0,0.13503126861930215,-0.018559019065654533,0.8011415842125478,2.0
1.57,0.956799999999999,1.57,0.0,1.57,0.0,0.13501037457255674,-0.04479098575125487,0.7998281879760152,2.0
1.57,0.998399999999999,1.57,0.0,1.57,0.0,0.13498953809175676,-0.07094563620206015,0.7974249925892346,2.0
